#--- Principal Components -------
#    axes     	PC1  	PC2  	PC3  	PC4  	PC5  	PC6  	PC7  	PC8  	PC9  	PC10 	PC11 	
1872    	 2.901	 1.024	 1.565	-0.486	 2.056	 1.220	 0.306	-0.008	-0.053	-0.353	-0.001	
1880    	 2.767	 2.012	-0.170	-1.484	-1.236	 0.713	 0.930	-0.271	-0.225	 0.132	-0.001	
1890    	 2.416	 0.224	 0.766	 0.267	 0.710	-0.122	-0.328	-0.457	 0.026	 0.229	 0.002	
1900    	 2.057	 0.755	 1.007	 0.523	 0.504	-0.617	-0.096	 0.278	 0.349	 0.253	-0.001	
1903    	 2.338	 0.167	 0.623	-0.182	-1.212	-1.453	-0.131	-0.028	-0.142	 0.115	-0.002	
1906    	 1.985	 0.626	 0.692	 0.710	-0.151	-0.376	-0.166	 0.069	 0.087	 0.173	 0.006	
1909    	 1.907	 0.812	 0.987	 0.201	-0.595	-0.253	-0.299	 0.400	-0.097	-0.248	-0.002	
1912    	 1.431	 0.768	 0.194	 1.290	-0.781	-0.080	-0.131	 0.028	-0.098	-0.223	-0.001	
1920    	 2.139	 0.956	-1.747	 1.063	-0.626	 0.321	 0.288	-0.390	-0.100	 0.016	 0.001	
1923    	 1.143	-2.884	-0.866	-0.438	 0.542	-0.841	 0.051	-0.706	 0.375	-0.063	-0.003	
1926    	 1.674	-2.611	 0.499	-1.762	 1.193	 0.076	-0.282	 0.048	-0.255	 0.072	 0.002	
1929    	 1.173	-1.831	-0.610	-1.156	-0.695	 0.309	 0.028	 0.681	 0.209	-0.012	 0.000	
1932    	-0.271	-1.959	-1.462	-0.040	-0.345	 1.408	 0.092	 0.422	-0.128	 0.028	-0.001	
1935    	-0.659	-2.296	-0.663	 0.308	-0.824	 0.222	 0.386	 0.021	 0.094	 0.142	 0.001	
1938    	 0.402	-1.343	-0.850	 1.848	-0.063	-0.242	-0.504	-0.051	-0.070	-0.406	 0.001	
1947    	-1.081	 2.251	-1.276	 0.231	 0.373	 0.865	-0.103	 0.168	 0.812	 0.032	-0.000	
1950    	-2.373	 2.175	-1.917	-2.663	 0.187	-0.901	-0.650	-0.214	-0.035	-0.148	 0.001	
1953    	-1.204	 1.134	-1.662	 0.752	 0.962	-0.408	-0.524	 0.517	-0.415	 0.185	-0.001	
1956    	-2.928	 0.231	-0.590	 0.444	 0.511	-0.945	 1.099	-0.275	-0.105	-0.217	 0.001	
1959    	-2.686	 0.140	 0.071	 0.690	 1.212	-0.179	 0.397	 0.176	-0.260	 0.294	-0.003	
1962    	-3.055	-0.111	 0.586	 0.646	 0.419	 0.245	 0.403	-0.037	-0.008	 0.059	 0.003	
1965    	-3.143	 0.311	 1.412	-0.763	-0.931	 0.221	-0.037	 0.311	-0.035	-0.144	 0.002	
1968    	-3.696	-0.467	 2.297	-0.281	-0.476	-0.732	 0.180	 0.107	 0.207	-0.041	-0.001	
1971    	-3.239	-0.086	 1.114	 0.282	-0.733	 1.546	-0.910	-0.791	-0.133	 0.124	-0.002	


#--- Correlations Circle -------
PVP     	 0.174	 0.740	 0.341	 0.108	 0.340	 0.402	 0.028	 0.118	 0.048	 0.013	 0.000	
AGR     	-0.819	 0.006	 0.366	 0.154	-0.033	-0.219	 0.348	-0.004	 0.022	 0.038	 0.000	
CMI     	-0.834	 0.340	-0.141	-0.258	 0.151	-0.195	-0.091	-0.087	 0.154	-0.050	 0.001	
TRA     	 0.137	 0.631	-0.376	-0.281	-0.547	 0.218	 0.124	-0.035	-0.000	 0.005	 0.000	
LOG     	-0.722	 0.398	-0.385	-0.208	 0.263	-0.176	-0.037	 0.076	-0.140	 0.054	 0.000	
EDU     	-0.787	-0.137	 0.425	 0.116	-0.318	 0.113	-0.214	-0.024	 0.007	 0.090	 0.001	
ACS     	-0.933	-0.100	 0.166	 0.151	-0.104	 0.174	 0.001	 0.032	-0.090	-0.136	 0.000	
ACO     	-0.289	-0.808	-0.375	-0.202	 0.012	 0.196	 0.066	 0.187	 0.073	 0.016	 0.000	
DEF     	 0.612	 0.216	-0.260	 0.637	-0.154	-0.261	-0.037	 0.104	 0.030	-0.014	 0.001	
DET     	 0.889	-0.301	 0.161	-0.179	 0.176	 0.060	 0.064	-0.145	-0.039	-0.001	 0.001	
DIV     	 0.548	 0.112	 0.537	-0.505	-0.184	-0.282	-0.041	 0.169	-0.006	-0.029	 0.000 
